id,gender,ocp_cd,age,cc_txn_amt,cc_count,kp_txn_count,kp_txn_amt
1,2,9.0,5,44700.0,5.0,2.0,3500.0
2,2,3.0,4,65200.0,42.0,104.0,210000.0
3,2,1.0,3,0.0,0.0,70.0,139700.0
4,2,3.0,5,770000.0,36.0,315.0,6076100.0
5,2,9.0,4,12000.0,3.0,0.0,0.0
6,1,3.0,3,32000.0,3.0,10.0,13400.0
7,1,3.0,5,41100.0,22.0,277.0,603800.0
8,2,9.0,3,16300.0,7.0,1466.0,804800.0
9,1,9.0,4,29000.0,7.0,9.0,4600.0
10,1,3.0,3,0.0,0.0,43.0,68400.0
11,1,9.0,4,41600.0,11.0,143.0,523600.0
12,2,3.0,4,27000.0,41.0,0.0,0.0
13,2,3.0,3,9800.0,6.0,22.0,52200.0
14,2,3.0,5,59000.0,29.0,0.0,0.0
15,2,3.0,3,19000.0,18.0,0.0,0.0
16,2,3.0,4,34100.0,10.0,2.0,20700.0
17,2,9.0,3,0.0,0.0,120.0,393800.0
18,1,3.0,4,0.0,0.0,78.0,96800.0
19,1,9.0,4,32000.0,6.0,0.0,0.0
20,2,9.0,3,9000.0,1.0,4.0,600.0
21,2,3.0,3,43600.0,26.0,90.0,392900.0
22,1,3.0,4,151000.0,145.0,38.0,893800.0
23,2,9.0,4,25800.0,26.0,37.0,119000.0
24,1,9.0,4,9000.0,1.0,0.0,0.0
25,1,9.0,5,76400.0,21.0,124.0,798700.0
26,1,3.0,4,0.0,0.0,111.0,53300.0
27,2,3.0,5,0.0,0.0,0.0,0.0
28,2,9.0,4,34600.0,8.0,53.0,136600.0
29,2,9.0,3,22600.0,10.0,8.0,61800.0
30,2,3.0,5,6000.0,1.0,45.0,2900.0
31,2,9.0,3,168700.0,48.0,274.0,1450400.0
32,1,9.0,3,94400.0,58.0,27.0,355800.0
33,2,3.0,3,38200.0,18.0,50.0,119700.0
34,1,9.0,3,14000.0,8.0,0.0,0.0
35,1,3.0,2,11000.0,1.0,0.0,0.0
36,1,3.0,5,50300.0,18.0,383.0,1243300.0
37,2,3.0,4,15400.0,3.0,96.0,1442100.0
38,2,3.0,4,9300.0,2.0,0.0,0.0
39,2,9.0,4,38700.0,22.0,13.0,42000.0
40,1,3.0,4,0.0,0.0,0.0,0.0
41,1,9.0,4,18500.0,17.0,45.0,79900.0
42,2,3.0,3,59500.0,40.0,152.0,858100.0
43,2,9.0,3,10800.0,11.0,20.0,37100.0
44,1,3.0,4,15000.0,3.0,11.0,48100.0
45,1,9.0,4,44900.0,19.0,85.0,352500.0
46,2,9.0,3,14000.0,1.0,54.0,155500.0
47,1,9.0,5,9100.0,5.0,12.0,48900.0
48,2,9.0,5,0.0,0.0,0.0,0.0
49,1,3.0,5,10300.0,10.0,22.0,166000.0
50,2,9.0,4,71400.0,59.0,68.0,255900.0
51,2,9.0,3,12800.0,4.0,21.0,81300.0
52,2,9.0,4,8500.0,5.0,100.0,329900.0
53,2,3.0,4,254100.0,32.0,53.0,386500.0
54,2,9.0,4,31100.0,17.0,70.0,133700.0
55,2,9.0,5,15000.0,1.0,55.0,296200.0
56,1,3.0,4,40200.0,23.0,24.0,73600.0
57,1,9.0,4,0.0,0.0,442.0,10714500.0
58,1,9.0,3,19800.0,6.0,51.0,86700.0
59,2,3.0,4,9000.0,5.0,52.0,35400.0
60,2,3.0,4,19300.0,16.0,5.0,37100.0
61,2,9.0,5,6000.0,3.0,0.0,0.0
62,2,3.0,4,11200.0,10.0,190.0,1025900.0
63,2,9.0,3,8000.0,2.0,26.0,15400.0
64,2,3.0,3,49100.0,19.0,99.0,208700.0
65,2,9.0,4,19800.0,9.0,0.0,0.0
66,2,3.0,5,29700.0,29.0,31.0,105600.0
67,2,3.0,3,37800.0,43.0,72.0,188800.0
68,1,9.0,3,61100.0,22.0,0.0,0.0
69,1,3.0,4,142900.0,59.0,58.0,617400.0
70,1,3.0,4,14800.0,3.0,0.0,0.0
71,1,13.0,4,0.0,0.0,0.0,0.0
72,2,3.0,3,0.0,0.0,43.0,67400.0
73,1,9.0,4,18100.0,5.0,17.0,12100.0
74,1,4.0,5,219800.0,20.0,152.0,3027200.0
75,2,3.0,5,59100.0,3.0,58.0,923300.0
76,1,3.0,3,0.0,0.0,54.0,291100.0
77,2,9.0,4,13500.0,19.0,37.0,90600.0
78,1,3.0,3,48600.0,49.0,0.0,0.0
79,2,3.0,4,0.0,0.0,0.0,0.0
80,2,9.0,4,15200.0,5.0,1.0,100.0
81,1,9.0,4,38300.0,6.0,53.0,578200.0
82,2,3.0,4,7000.0,1.0,0.0,0.0
83,2,3.0,4,22000.0,27.0,38.0,85100.0
84,1,9.0,4,27900.0,13.0,30.0,55900.0
85,1,9.0,4,0.0,0.0,43.0,146000.0
86,1,3.0,3,16100.0,3.0,22.0,88200.0
87,2,9.0,5,19600.0,7.0,0.0,0.0
88,2,3.0,2,6200.0,2.0,84.0,80600.0
89,2,9.0,3,5000.0,1.0,89.0,283700.0
90,1,3.0,6,32000.0,5.0,0.0,0.0
91,1,7.0,3,0.0,0.0,120.0,1269200.0
92,1,9.0,3,0.0,0.0,53.0,302900.0
93,2,3.0,3,0.0,0.0,0.0,0.0
94,2,9.0,6,300.0,1.0,41.0,11700.0
95,2,9.0,3,59400.0,20.0,4.0,6400.0
96,2,3.0,4,82700.0,65.0,32.0,98100.0
97,2,1.0,3,58800.0,45.0,25.0,195000.0
98,2,9.0,3,0.0,0.0,0.0,0.0
99,2,3.0,3,7400.0,5.0,0.0,0.0
100,2,3.0,4,45400.0,11.0,241.0,954900.0
101,2,9.0,3,29100.0,24.0,57.0,138300.0
102,2,3.0,4,13200.0,17.0,277.0,798400.0
103,2,9.0,3,7000.0,2.0,0.0,0.0
104,1,9.0,5,14800.0,12.0,0.0,0.0
105,1,3.0,4,20000.0,18.0,0.0,0.0
106,2,9.0,4,0.0,0.0,20.0,70600.0
107,1,9.0,3,106800.0,32.0,131.0,650900.0
108,1,3.0,4,106200.0,36.0,32.0,329400.0
109,1,3.0,4,41100.0,4.0,61.0,447100.0
110,2,3.0,5,8000.0,1.0,0.0,0.0
111,2,3.0,4,222400.0,31.0,0.0,0.0
112,2,9.0,3,46000.0,3.0,72.0,252300.0
113,2,3.0,3,46900.0,27.0,176.0,627700.0
114,2,13.0,5,87800.0,26.0,48.0,393700.0
115,2,9.0,5,21900.0,6.0,58.0,78300.0
116,2,9.0,3,0.0,0.0,0.0,0.0
117,1,3.0,3,13500.0,4.0,16.0,161100.0
118,2,3.0,5,0.0,0.0,48.0,83300.0
119,2,4.0,4,120700.0,8.0,145.0,2667000.0
120,1,3.0,3,120900.0,102.0,105.0,322200.0
121,1,3.0,4,281300.0,60.0,0.0,0.0
122,2,9.0,5,79900.0,10.0,0.0,0.0
123,1,3.0,4,38900.0,19.0,51.0,223000.0
124,1,3.0,3,77500.0,37.0,90.0,715300.0
125,2,4.0,5,0.0,0.0,0.0,0.0
126,1,3.0,3,18000.0,1.0,75.0,218000.0
127,2,9.0,3,1500.0,2.0,0.0,0.0
128,2,9.0,4,17100.0,14.0,100.0,369100.0
129,1,9.0,3,9000.0,6.0,57.0,138500.0
130,1,3.0,4,42900.0,20.0,35.0,109000.0
131,2,3.0,3,6000.0,1.0,0.0,0.0
132,1,3.0,3,6200.0,17.0,0.0,0.0
133,2,3.0,3,1500.0,3.0,28.0,207200.0
134,1,3.0,5,85600.0,108.0,25.0,239600.0
135,2,9.0,3,19700.0,13.0,0.0,0.0
136,2,9.0,3,16000.0,4.0,25.0,20800.0
137,1,3.0,3,8100.0,4.0,255.0,1947400.0
138,2,9.0,5,28300.0,21.0,49.0,44300.0
139,1,3.0,4,89800.0,25.0,26.0,776800.0
140,2,3.0,3,30900.0,21.0,0.0,0.0
141,2,9.0,5,3300.0,5.0,12.0,18600.0
142,2,9.0,3,10300.0,4.0,54.0,99300.0
143,2,9.0,3,29000.0,1.0,28.0,58700.0
144,1,3.0,3,82000.0,34.0,105.0,196000.0
145,2,3.0,3,40000.0,6.0,60.0,152400.0
146,2,3.0,4,96100.0,16.0,117.0,53300.0
147,2,3.0,3,13900.0,13.0,45.0,180500.0
148,1,9.0,4,18400.0,15.0,0.0,0.0
149,2,6.0,2,30700.0,25.0,0.0,0.0
150,1,9.0,3,10800.0,4.0,78.0,285300.0
151,1,4.0,6,0.0,0.0,10.0,256300.0
152,2,3.0,4,0.0,0.0,17.0,18300.0
153,2,3.0,4,40200.0,19.0,0.0,0.0
