,gender,ocp_cd,age,kp_txn_amt,cc_txn_amt
0,2,9.0,5,7000,10000.0
1,2,3.0,4,627000,59600.0
2,2,1.0,3,139700,0.0
3,2,3.0,5,18474800,670000.0
4,1,3.0,3,26800,23000.0
5,1,3.0,5,2660700,34300.0
6,2,9.0,3,1609600,16300.0
7,1,9.0,4,13800,6000.0
8,1,3.0,3,68400,0.0
9,1,9.0,4,1047500,41600.0
10,2,3.0,3,156600,2400.0
11,2,3.0,4,62100,0.0
12,2,9.0,3,787600,0.0
13,1,3.0,4,193600,0.0
14,2,9.0,3,600,0.0
15,2,3.0,3,1312000,28400.0
16,1,3.0,4,7262700,91800.0
17,2,9.0,4,455500,15000.0
18,1,9.0,5,3492200,69700.0
19,1,3.0,4,159900,0.0
20,2,9.0,4,409800,34600.0
21,2,9.0,3,123600,9100.0
22,2,3.0,5,2900,6000.0
23,2,9.0,3,7821700,167900.0
24,1,9.0,3,978200,67700.0
25,2,3.0,3,132400,35500.0
26,1,3.0,5,4214800,50300.0
27,2,3.0,4,4326300,15400.0
28,2,9.0,4,42000,2000.0
29,1,9.0,4,159800,12000.0
30,2,3.0,3,1881200,59000.0
31,2,9.0,3,42100,4100.0
32,1,3.0,4,96200,0.0
33,1,9.0,4,734600,39100.0
34,2,9.0,3,311000,14000.0
35,1,9.0,5,48900,4500.0
36,1,3.0,5,332500,6500.0
37,2,9.0,4,718800,62700.0
38,2,9.0,3,81300,3100.0
39,2,9.0,4,350100,4700.0
40,2,3.0,4,998300,245900.0
41,2,9.0,4,418900,25100.0
42,2,9.0,5,592400,15000.0
43,1,3.0,4,227300,9600.0
44,1,9.0,4,10714500,0.0
45,1,9.0,3,174500,4900.0
46,2,3.0,4,106200,3000.0
47,2,3.0,4,76800,4700.0
48,2,3.0,4,3083600,11200.0
49,2,9.0,3,30800,8000.0
50,2,3.0,3,904000,43700.0
51,2,3.0,5,171300,17000.0
52,2,3.0,3,462500,32000.0
53,1,3.0,4,4457600,136800.0
54,2,3.0,3,269600,0.0
55,1,9.0,4,24200,10900.0
56,1,4.0,5,11284200,219800.0
